Module Resource Usage Distribution Estimates
Generated at: May 14, 2022 12:36:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
mipi_loopback_top:mipi_loopback_top                         	 4975(4491)	       8(5)	   741(191)	    16(0)	     0(0)	
+patgen:video_gen                                           	     41(41)	       0(0)	     92(92)	     0(0)	     0(0)	
+sw4_inst:sw_counter(MAX_CNT=4)                             	     18(18)	       0(0)	     43(43)	     0(0)	     0(0)	
+fifo_in0:fifo(DATA_WIDTH=16,ADDR_WIDTH=12)                 	     24(24)	       0(0)	     31(31)	    16(0)	     0(0)	
 +memory_in0:memory(DATA_WIDTH=16,ADDR_WIDTH=12,RAM_DEPTH=4096)	       0(0)	       0(0)	       0(0)	   16(16)	     0(0)	
+goldenpat:video_gen                                        	     41(41)	       0(0)	   109(109)	     0(0)	     0(0)	
+sw5_inst:sw_counter(MAX_CNT=2)                             	     17(17)	       0(0)	     31(31)	     0(0)	     0(0)	
+edb_top_inst:edb_top                                       	     343(0)	       3(0)	     244(0)	     0(0)	     0(0)	
 +VIO_0:edb_vio_top(NUM_PROBE_IN=7,NUM_PROBE_OUT=0,PROBE_IN0_WIDTH=18,PROBE_IN1_WIDTH=6,PROBE_IN2_WIDTH=2,PROBE_IN4_WIDTH=20,PROBE_IN5_WIDTH=20)	     302(0)	       3(0)	     229(0)	     0(0)	     0(0)	
  +vio_core_inst:vio_core(INT_WIDTH=68,OUT_WIDTH=0,PROBE_OUT_INIT_VAL=1'b0)	    302(66)	       3(3)	   229(142)	     0(0)	     0(0)	
   +axi_crc_i:adbg_crc32                                    	     32(32)	       0(0)	     55(55)	     0(0)	     0(0)	
   +gen_probe_in_sync[0].sync_probe_in_U:syncer             	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[1].sync_probe_in_U:syncer             	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[2].sync_probe_in_U:syncer             	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[3].sync_probe_in_U:syncer             	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[4].sync_probe_in_U:syncer             	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[5].sync_probe_in_U:syncer             	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[6].sync_probe_in_U:syncer             	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[7].sync_probe_in_U:syncer             	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[8].sync_probe_in_U:syncer             	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[9].sync_probe_in_U:syncer             	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[10].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[11].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[12].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[13].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[14].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[15].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[16].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[17].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[18].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[19].sync_probe_in_U:syncer            	       3(3)	       0(0)	       1(1)	     0(0)	     0(0)	
   +gen_probe_in_sync[20].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[21].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[22].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
   +gen_probe_in_sync[23].sync_probe_in_U:syncer            	       3(3)	       0(0)	       0(0)	     0(0)	     0(0)	
